dimension_index,dimension_label,positive_terms,negative_terms,absolute_terms
50,51,"bbc (0.218), energy (0.155), corbyn (0.153), ai (0.151), french (0.115), biden (0.115), young (0.110), people (0.103), british (0.097), children (0.097)","football (-0.147), iran (-0.137), food (-0.135), social (-0.110), sanders (-0.107), media (-0.105), trade (-0.100), climate (-0.084), facebook (-0.083), clinton (-0.081)","bbc (0.218), energy (0.155), corbyn (0.153), ai (0.151), football (-0.147), iran (-0.137), food (-0.135), french (0.115), biden (0.115), young (0.110)"
51,52,"nhs (0.233), nuclear (0.130), ai (0.119), christmas (0.119), climate (0.117), data (0.107), court (0.096), biden (0.090), muslim (0.088), church (0.084)","abortion (-0.228), care (-0.163), energy (-0.146), sex (-0.120), sexual (-0.119), mps (-0.113), people (-0.104), trade (-0.104), isis (-0.095), syria (-0.088)","nhs (0.233), abortion (-0.228), care (-0.163), energy (-0.146), nuclear (0.130), sex (-0.120), ai (0.119), sexual (-0.119), christmas (0.119), climate (0.117)"
52,53,"aboriginal (0.229), indigenous (0.206), nhs (0.195), children (0.154), mps (0.146), sexual (0.110), sunak (0.105), nuclear (0.089), sanders (0.089), child (0.088)","care (-0.175), disabled (-0.175), schools (-0.167), church (-0.164), australia (-0.137), australian (-0.128), energy (-0.094), catholic (-0.091), disability (-0.090), mental (-0.085)","aboriginal (0.229), indigenous (0.206), nhs (0.195), care (-0.175), disabled (-0.175), schools (-0.167), church (-0.164), children (0.154), mps (0.146), australia (-0.137)"
53,54,"prison (0.377), prisons (0.199), bbc (0.172), prisoners (0.169), church (0.126), muslim (0.114), justice (0.110), muslims (0.107), aboriginal (0.106), schools (0.095)","football (-0.161), sex (-0.137), disabled (-0.117), sexual (-0.101), police (-0.096), children (-0.092), government (-0.091), students (-0.077), immigration (-0.074), sport (-0.074)","prison (0.377), prisons (0.199), bbc (0.172), prisoners (0.169), football (-0.161), sex (-0.137), church (0.126), disabled (-0.117), muslim (0.114), justice (0.110)"
54,55,"energy (0.205), violence (0.165), ai (0.153), bbc (0.152), starmer (0.125), clinton (0.117), sanders (0.113), power (0.102), government (0.094), disabled (0.083)","trans (-0.204), biden (-0.201), corbyn (-0.137), care (-0.137), abortion (-0.119), party (-0.114), climate (-0.105), gender (-0.095), food (-0.087), british (-0.079)","energy (0.205), trans (-0.204), biden (-0.201), violence (0.165), ai (0.153), bbc (0.152), corbyn (-0.137), care (-0.137), starmer (0.125), abortion (-0.119)"
55,56,"ai (0.207), saudi (0.178), party (0.160), johnson (0.148), disabled (0.140), brexit (0.132), nhs (0.121), prince (0.116), police (0.098), uk (0.094)","prison (-0.175), cameron (-0.141), mps (-0.131), care (-0.126), drug (-0.118), drugs (-0.115), nuclear (-0.103), prisons (-0.099), prime (-0.098), young (-0.097)","ai (0.207), saudi (0.178), prison (-0.175), party (0.160), johnson (0.148), cameron (-0.141), disabled (0.140), brexit (0.132), mps (-0.131), care (-0.126)"
56,57,"ai (0.197), brexit (0.183), trans (0.167), bbc (0.162), students (0.127), government (0.101), inquiry (0.088), football (0.088), biden (0.087), universities (0.084)","young (-0.171), mps (-0.161), music (-0.109), nhs (-0.100), police (-0.097), art (-0.085), eu (-0.085), court (-0.084), parliament (-0.084), facebook (-0.082)","ai (0.197), brexit (0.183), young (-0.171), trans (0.167), bbc (0.162), mps (-0.161), students (0.127), music (-0.109), government (0.101), nhs (-0.100)"
57,58,"ai (0.246), care (0.181), mental (0.142), vote (0.126), nuclear (0.116), schools (0.104), health (0.095), energy (0.094), north (0.086), trans (0.084)","facebook (-0.129), sex (-0.118), biden (-0.115), christmas (-0.112), macron (-0.107), prison (-0.101), drug (-0.101), trade (-0.097), drugs (-0.096), brexit (-0.095)","ai (0.246), care (0.181), mental (0.142), facebook (-0.129), vote (0.126), sex (-0.118), nuclear (0.116), biden (-0.115), christmas (-0.112), macron (-0.107)"
58,59,"bbc (0.207), care (0.192), facebook (0.145), schools (0.107), britain (0.103), british (0.097), muslims (0.092), world (0.090), muslim (0.089), french (0.089)","nhs (-0.156), children (-0.137), prison (-0.127), ai (-0.127), eu (-0.125), church (-0.123), energy (-0.121), syria (-0.119), turkey (-0.107), isis (-0.104)","bbc (0.207), care (0.192), nhs (-0.156), facebook (0.145), children (-0.137), prison (-0.127), ai (-0.127), eu (-0.125), church (-0.123), energy (-0.121)"
59,60,"bbc (0.180), energy (0.148), aboriginal (0.145), sunak (0.140), indigenous (0.138), facebook (0.117), food (0.110), tax (0.108), home (0.100), syria (0.091)","ai (-0.150), disabled (-0.133), johnson (-0.123), musk (-0.123), trans (-0.114), vaccine (-0.102), australia (-0.100), prison (-0.100), australian (-0.094), war (-0.092)","bbc (0.180), ai (-0.150), energy (0.148), aboriginal (0.145), sunak (0.140), indigenous (0.138), disabled (-0.133), johnson (-0.123), musk (-0.123), facebook (0.117)"
60,61,"biden (0.226), saudi (0.220), rights (0.203), human (0.167), cameron (0.115), muslim (0.114), sex (0.106), muslims (0.104), arabia (0.101), tory (0.093)","republican (-0.172), church (-0.161), war (-0.146), party (-0.136), republicans (-0.134), trans (-0.121), facebook (-0.103), isis (-0.095), military (-0.093), starmer (-0.086)","biden (0.226), saudi (0.220), rights (0.203), republican (-0.172), human (0.167), church (-0.161), war (-0.146), party (-0.136), republicans (-0.134), trans (-0.121)"
61,62,"court (0.230), vaccine (0.178), vaccines (0.120), biden (0.115), brexit (0.108), mental (0.106), police (0.103), tory (0.102), supreme (0.093), asylum (0.084)","abortion (-0.211), prison (-0.208), ai (-0.181), sex (-0.133), prisons (-0.113), government (-0.111), christmas (-0.105), lockdown (-0.101), prisoners (-0.099), sexual (-0.095)","court (0.230), abortion (-0.211), prison (-0.208), ai (-0.181), vaccine (0.178), sex (-0.133), vaccines (0.120), biden (0.115), prisons (-0.113), government (-0.111)"
62,63,"ai (0.233), young (0.187), corbyn (0.175), party (0.135), people (0.127), uk (0.105), macron (0.104), sunak (0.099), saudi (0.095), eu (0.095)","lib (-0.196), trans (-0.178), dems (-0.148), europe (-0.121), energy (-0.104), mps (-0.101), prison (-0.100), refugees (-0.078), art (-0.077), germany (-0.077)","ai (0.233), lib (-0.196), young (0.187), trans (-0.178), corbyn (0.175), dems (-0.148), party (0.135), people (0.127), europe (-0.121), uk (0.105)"
63,64,"food (0.179), corbyn (0.133), court (0.115), music (0.110), nhs (0.105), energy (0.104), aid (0.102), gaza (0.098), muslim (0.097), abortion (0.089)","jewish (-0.158), jews (-0.142), antisemitism (-0.134), aboriginal (-0.131), indigenous (-0.125), prince (-0.106), saudi (-0.105), republican (-0.100), disabled (-0.098), republicans (-0.097)","food (0.179), jewish (-0.158), jews (-0.142), antisemitism (-0.134), corbyn (0.133), aboriginal (-0.131), indigenous (-0.125), court (0.115), music (0.110), prince (-0.106)"
64,65,"bbc (0.169), royal (0.160), prince (0.152), ai (0.149), sanders (0.148), court (0.147), christmas (0.127), europe (0.124), brexit (0.122), queen (0.117)","uk (-0.121), french (-0.116), inquiry (-0.112), immigration (-0.105), trade (-0.097), macron (-0.092), grenfell (-0.089), church (-0.087), eu (-0.085), government (-0.085)","bbc (0.169), royal (0.160), prince (0.152), ai (0.149), sanders (0.148), court (0.147), christmas (0.127), europe (0.124), brexit (0.122), uk (-0.121)"
65,66,"ai (0.176), vaccine (0.150), sex (0.141), disabled (0.132), nhs (0.127), vaccines (0.097), mps (0.096), news (0.093), white (0.092), gay (0.089)","music (-0.170), it's (-0.140), arts (-0.127), christmas (-0.123), art (-0.112), children (-0.094), war (-0.090), patients (-0.087), royal (-0.083), film (-0.081)","ai (0.176), music (-0.170), vaccine (0.150), sex (0.141), it's (-0.140), disabled (0.132), arts (-0.127), nhs (0.127), christmas (-0.123), art (-0.112)"
66,67,"rights (0.178), war (0.156), uk (0.134), antisemitism (0.122), human (0.116), saudi (0.110), church (0.101), mps (0.098), afghanistan (0.097), jewish (0.096)","muslim (-0.158), muslims (-0.145), trans (-0.139), deal (-0.128), republican (-0.115), royal (-0.111), food (-0.105), cameron (-0.105), public (-0.102), republicans (-0.095)","rights (0.178), muslim (-0.158), war (0.156), muslims (-0.145), trans (-0.139), uk (0.134), deal (-0.128), antisemitism (0.122), human (0.116), republican (-0.115)"
67,68,"disabled (0.198), nhs (0.138), lib (0.114), men (0.110), disability (0.102), sanders (0.094), muslims (0.094), muslim (0.090), lockdown (0.088), dems (0.087)","vaccine (-0.154), jewish (-0.133), trans (-0.123), sunak (-0.116), antisemitism (-0.116), local (-0.116), election (-0.115), energy (-0.114), jews (-0.109), vaccines (-0.104)","disabled (0.198), vaccine (-0.154), nhs (0.138), jewish (-0.133), trans (-0.123), sunak (-0.116), antisemitism (-0.116), local (-0.116), election (-0.115), energy (-0.114)"
68,69,"sex (0.198), brexit (0.195), men (0.150), gay (0.149), drug (0.114), starmer (0.113), drugs (0.102), government (0.090), musk (0.079), food (0.077)","trade (-0.184), trans (-0.180), christmas (-0.140), nhs (-0.134), mps (-0.129), violence (-0.111), biden (-0.097), macron (-0.096), disabled (-0.095), french (-0.095)","sex (0.198), brexit (0.195), trade (-0.184), trans (-0.180), men (0.150), gay (0.149), christmas (-0.140), nhs (-0.134), mps (-0.129), drug (0.114)"
69,70,"jewish (0.218), antisemitism (0.189), ai (0.188), jews (0.186), young (0.178), trade (0.157), britain (0.129), climate (0.117), british (0.116), musk (0.100)","immigration (-0.172), saudi (-0.163), mps (-0.125), gaza (-0.118), energy (-0.112), prince (-0.093), eu (-0.091), work (-0.089), sex (-0.088), johnson (-0.081)","jewish (0.218), antisemitism (0.189), ai (0.188), jews (0.186), young (0.178), immigration (-0.172), saudi (-0.163), trade (0.157), britain (0.129), mps (-0.125)"
70,71,"news (0.166), trans (0.122), journalists (0.122), ai (0.122), saudi (0.119), media (0.112), people (0.104), church (0.095), it's (0.086), journalism (0.086)","facebook (-0.130), musk (-0.122), johnson (-0.120), disabled (-0.118), bbc (-0.118), corbyn (-0.116), vote (-0.111), letters (-0.095), workers (-0.095), referendum (-0.093)","news (0.166), facebook (-0.130), trans (0.122), musk (-0.122), journalists (0.122), ai (0.122), johnson (-0.120), saudi (0.119), disabled (-0.118), bbc (-0.118)"
71,72,"disabled (0.182), christmas (0.178), trans (0.160), immigration (0.157), violence (0.138), iran (0.119), starmer (0.117), prime (0.108), music (0.104), bbc (0.102)","lib (-0.141), energy (-0.122), media (-0.122), refugees (-0.117), sex (-0.112), government (-0.109), dems (-0.107), social (-0.098), football (-0.086), party (-0.086)","disabled (0.182), christmas (0.178), trans (0.160), immigration (0.157), lib (-0.141), violence (0.138), energy (-0.122), media (-0.122), iran (0.119), starmer (0.117)"
72,73,"sunak (0.217), nhs (0.153), disabled (0.139), water (0.136), inquiry (0.112), truss (0.103), starmer (0.101), grenfell (0.100), young (0.099), vaccine (0.094)","cameron (-0.179), ai (-0.136), lib (-0.129), aboriginal (-0.122), musk (-0.118), patients (-0.112), britain (-0.107), cancer (-0.106), christmas (-0.100), dems (-0.096)","sunak (0.217), cameron (-0.179), nhs (0.153), disabled (0.139), water (0.136), ai (-0.136), lib (-0.129), aboriginal (-0.122), musk (-0.118), patients (-0.112)"
73,74,"christmas (0.430), musk (0.132), north (0.118), year (0.112), korea (0.110), brexit (0.104), nuclear (0.099), media (0.088), lib (0.081), water (0.081)","facebook (-0.152), food (-0.145), iran (-0.131), prison (-0.114), bbc (-0.105), war (-0.105), local (-0.104), trade (-0.103), data (-0.102), climate (-0.075)","christmas (0.430), facebook (-0.152), food (-0.145), musk (0.132), iran (-0.131), north (0.118), prison (-0.114), year (0.112), korea (0.110), bbc (-0.105)"
74,75,"sex (0.197), nuclear (0.145), british (0.140), black (0.137), prison (0.100), britain (0.094), church (0.091), corbyn (0.090), disabled (0.089), uk (0.088)","saudi (-0.194), christmas (-0.153), inquiry (-0.136), class (-0.121), grenfell (-0.120), bbc (-0.106), trade (-0.103), social (-0.098), men (-0.095), antisemitism (-0.095)","sex (0.197), saudi (-0.194), christmas (-0.153), nuclear (0.145), british (0.140), black (0.137), inquiry (-0.136), class (-0.121), grenfell (-0.120), bbc (-0.106)"
75,76,"marriage (0.193), sunak (0.158), gay (0.156), men (0.126), eu (0.116), money (0.108), musk (0.097), leave (0.089), work (0.087), starmer (0.086)","young (-0.176), vaccine (-0.157), trans (-0.155), workers (-0.136), church (-0.120), government (-0.113), britain (-0.097), vaccines (-0.091), aboriginal (-0.087), british (-0.085)","marriage (0.193), young (-0.176), sunak (0.158), vaccine (-0.157), gay (0.156), trans (-0.155), workers (-0.136), men (0.126), church (-0.120), eu (0.116)"
76,77,"christmas (0.424), tory (0.144), mps (0.136), ai (0.122), vaccine (0.120), public (0.109), drug (0.105), sunak (0.104), drugs (0.101), local (0.081)","musk (-0.179), prime (-0.150), lib (-0.143), minister (-0.139), trans (-0.120), dems (-0.109), saudi (-0.097), work (-0.086), twitter (-0.084), uk (-0.063)","christmas (0.424), musk (-0.179), prime (-0.150), tory (0.144), lib (-0.143), minister (-0.139), mps (0.136), ai (0.122), vaccine (0.120), trans (-0.120)"
77,78,"vaccine (0.215), violence (0.173), young (0.158), vaccines (0.125), food (0.116), tory (0.102), music (0.094), immigration (0.091), jewish (0.090), eu (0.090)","sex (-0.204), christmas (-0.183), britain (-0.128), muslim (-0.118), muslims (-0.109), children (-0.108), british (-0.107), police (-0.102), disabled (-0.100), inquiry (-0.100)","vaccine (0.215), sex (-0.204), christmas (-0.183), violence (0.173), young (0.158), britain (-0.128), vaccines (0.125), muslim (-0.118), food (0.116), muslims (-0.109)"
78,79,"data (0.215), sex (0.136), lib (0.132), north (0.126), bbc (0.112), biden (0.112), korea (0.108), local (0.105), dems (0.101), government (0.100)","britain (-0.176), republican (-0.145), republicans (-0.122), marriage (-0.115), british (-0.105), public (-0.102), media (-0.100), musk (-0.099), vote (-0.097), iran (-0.097)","data (0.215), britain (-0.176), republican (-0.145), sex (0.136), lib (0.132), north (0.126), republicans (-0.122), marriage (-0.115), bbc (0.112), biden (0.112)"
79,80,"sex (0.187), corbyn (0.128), war (0.121), election (0.113), lib (0.104), asylum (0.094), afghanistan (0.089), american (0.088), deal (0.085), cameron (0.085)","rights (-0.158), young (-0.148), north (-0.128), party (-0.108), facebook (-0.105), brexit (-0.104), nuclear (-0.104), human (-0.103), korea (-0.102), inquiry (-0.094)","sex (0.187), rights (-0.158), young (-0.148), corbyn (0.128), north (-0.128), war (0.121), election (0.113), party (-0.108), facebook (-0.105), brexit (-0.104)"
80,81,"musk (0.291), immigration (0.164), sex (0.147), trans (0.130), twitter (0.127), vote (0.112), women (0.094), church (0.091), musk's (0.084), sunak (0.083)","men (-0.242), violence (-0.184), data (-0.147), gay (-0.147), abortion (-0.144), corbyn (-0.106), lib (-0.106), white (-0.096), pay (-0.087), uk (-0.086)","musk (0.291), men (-0.242), violence (-0.184), immigration (0.164), data (-0.147), gay (-0.147), sex (0.147), abortion (-0.144), trans (0.130), twitter (0.127)"
81,82,"disabled (0.192), young (0.144), saudi (0.140), tax (0.124), food (0.124), north (0.120), white (0.115), korea (0.100), christmas (0.098), disability (0.093)","poverty (-0.186), iran (-0.143), hong (-0.103), britain (-0.098), cancer (-0.091), water (-0.090), i'm (-0.089), british (-0.088), party (-0.088), living (-0.087)","disabled (0.192), poverty (-0.186), young (0.144), iran (-0.143), saudi (0.140), tax (0.124), food (0.124), north (0.120), white (0.115), hong (-0.103)"
